PublishDate,Publish Week Day,mins,secs,Channel,Video Name on Youtube,Level,Access,Youtube Link,New Level Color on Thumbnail,Text that differs from standart description text,Subtitles,End scrn,Cards,Chapters,Thumbnail,Scheduled,Short links in the description,Translations (title & description),Pin comment,Short link in the comment,Added to playlists,Patreon Post,Shorts,Short links in shorts,TikTok заготовка,Upload to platform,Tags,Speaker,Is a Series' Episode,Next episode link,Cut out fragments on Youtube
30.07.0204,,3,35,InhaleRussian,"Maine Coon (Intermediate Russian Comprehensible Input)",Intermediate 1,Free,https://youtu.be/709fFXBG0qY?si=SnqyYnFZibsaUfls,,,,,,,,,,,,,,,,,,TRUE,Animals,Alina (Inhale Russian),,,
17.03.2024,,3,45,InhaleRussian,Uruguayan Air Force Flight 571 (Beginner Russian Comprehensible Input),Beginner 1,Free,https://youtu.be/U-_ANAC_Vh0?si=dGyIjZiQfzgfdn7-,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
19.03.2024,,4,36,InhaleRussian,"Theodore Roosevelt Jr (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/zvmHUkRNo1A?si=jn0s_womEpX8DRKK,,,,,,,,,,,,,,,,,,TRUE,"Stories, Famous people",Nikita (Inhale Russian),,,
21.03.2024,,14,21,InhaleRussian,"""Daughter and stepdaughter"" folk tale (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/4DdldjuN6xU?si=CvJRB08xBvzZw4D9,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
21.03.2024,,3,36,InhaleRussian,"In search of truth (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/16_ccvEwQwg?si=AHMEJOyM9A96z7AT,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
23.03.2024,,15,53,InhaleRussian,"The most ... things (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/8FloLZsYP7g?si=GCCt8EY9L1IkGrA8,,,,,,,,,,,,,,,,,,TRUE,"""Colors, numbers, size, units, forms""",Nikita (Inhale Russian),,,
24.03.2024,,15,22,InhaleRussian,"Price comparison (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/0EZps5mFl_Y?si=-oNVRV_DsSAR_WZG,,,,,,,,,,,,,,,,,,TRUE,"""Colors, numbers, size, units, forms""",Nikita (Inhale Russian),,,
29.03.2024,,10,9,InhaleRussian,"Some russian superstitions (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/v0oPtXlUd8w?si=9G-PicM68sfO2yjc,,,,,,,,,,,,,,,,,,TRUE,Culture,Nikita (Inhale Russian),,,
30.03.2024,,6,51,InhaleRussian,"Seasons (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/xsohk8nPuh0?si=7GgSaPjYZDjJLLFp,,,,,,,,,,,,,,,,,,TRUE,Nature,Nikita (Inhale Russian),,,
30.03.2024,,3,34,InhaleRussian,"My cat (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/kxDnSWCQLNY?si=utFolh-uaVD_AQkg,,,,,,,,,,,,,,,,,,TRUE,Animals,Nikita (Inhale Russian),,,
07.04.2024,,7,54,InhaleRussian,"Things I like (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/nGCCxncEDLI?si=HLXsdPqAnj7GtABK,,,,,,,,,,,,,,,,,,TRUE,Personal experience,Nikita (Inhale Russian),,,
09.04.2024,,5,18,InhaleRussian,"Brain (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/VmMayE7wZKw?si=C-bYE25AYCEXJlyI,,,,,,,,,,,,,,,,,,TRUE,Human,Nikita (Inhale Russian),,,
17.04.2024,,8,11,InhaleRussian,"Room (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/BEZR5ROOH7c?si=2EFtlfcQj4rxp2-6,,,,,,,,,,,,,,,,,,TRUE,Home,Nikita (Inhale Russian),,,
23.04.2024,,13,38,InhaleRussian,"Describing man and woman (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/llTg_DjJ0Gs?si=1xjUhMWspFhws6bk,,,,,,,,,,,,,,,,,,TRUE,Clothing,Nikita (Inhale Russian),,,
02.05.2024,,15,9,InhaleRussian,"Kitchen (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/7b0XLp6RSyA?si=fNzfM9LzYiFxPaBa,,,,,,,,,,,,,,,,,,TRUE,"Home, Food & kitchen",Nikita (Inhale Russian),,,
09.05.2024,,11,22,InhaleRussian,"Singular and plural, part 1 (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/HUyH3c8Uh3s?si=R2e0kGbmjWsB_10R,,,,,,,,,,,,,,,,,,TRUE,Inductive grammar,Nikita (Inhale Russian),,,
09.05.2024,,9,24,InhaleRussian,"Singular and plural, part 2 (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/S9xKlwgLwto?si=rzo1PjhHLj4C_qim,,,,,,,,,,,,,,,,,,TRUE,Inductive grammar,Nikita (Inhale Russian),,,
13.05.2024,,11,9,InhaleRussian,"Penguins (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/B23qCaP6mCU?si=z9NlGclW65mYrbrt,,,,,,,,,,,,,,,,,,TRUE,"Animals, Family",Nikita (Inhale Russian),,,
13.05.2024,,10,45,InhaleRussian,"Nothing (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/N0YrTBsYNqc?si=IGeYoE0Mjrz1VzO4,,,,,,,,,,,,,,,,,,TRUE,Words & Expressions,Nikita (Inhale Russian),,,
16.05.2024,,11,39,InhaleRussian,"Cien años de soledad (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/AXioqQBjKd0?si=c-Xnui2K72UckMiK,,,,,,,,,,,,,,,,,,TRUE,Literature,Nikita (Inhale Russian),,,
17.05.2024,,10,39,InhaleRussian,"Snowman (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/xC58PZwxhVg?si=bLHeBFPDPE1f6otW,,,,,,,,,,,,,,,,,,TRUE,Family,Nikita (Inhale Russian),,,
23.05.2024,,13,8,InhaleRussian,"I didn't like it as a child (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/mMo7T0W7wjY?si=8-8PR-aByPINEUCL,,,,,,,,,,,,,,,,,,TRUE,Personal experience,Nikita (Inhale Russian),,,
24.05.2024,,12,46,InhaleRussian,"Octopus (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/f-a8XV0bGxc?si=bvp0DGOl-N67SjHb,,,,,,,,,,,,,,,,,,TRUE,Animals,Nikita (Inhale Russian),,,
25.05.2024,,11,18,InhaleRussian,"Future (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/8kYjSuWDiOI?si=bGAnpL7A8qBV5iMR,,,,,,,,,,,,,,,,,,TRUE,Time,Nikita (Inhale Russian),,,
28.05.2024,,12,40,InhaleRussian,"Habits (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/2WGE6g2Vfwk?si=Bno17SrLQdw3a7Sf,,,,,,,,,,,,,,,,,,TRUE,"Health, Human, Lifestyle",Nikita (Inhale Russian),,,
30.05.2024,,11,43,InhaleRussian,Let's talk about food Pt. 1 (Beginner Russian Comprehensible Input),Beginner 1,Free,https://youtu.be/CRwjTQ7VKUo?si=b9XCJkcN8edIPbfU,,,,,,,,,,,,,,,,,,TRUE,Food & kitchen,Nikita (Inhale Russian),,,
01.06.2024,,12,27,InhaleRussian,Let's talk about food Pt. 2 (Beginner Russian Comprehensible Input),Beginner 1,Free,https://youtu.be/3msPYidpcNQ?si=yYYpzhv9kBfG8M_p,,,,,,,,,,,,,,,,,,TRUE,Food & kitchen,Nikita (Inhale Russian),,,
